epoch,event_index,event_name,timestamp_sec,system_time
1,1,E1_实验开始,1781949514.834728,2026-06-20 17:58:34.834
1,2,E1_想象吞咽1,1781949518.888216,2026-06-20 17:58:38.888
1,3,E1_含水1,1781949523.911615,2026-06-20 17:58:43.911
1,4,E1_温水吞咽1,1781949533.160896,2026-06-20 17:58:53.160
2,5,E2_实验开始,1781949548.215129,2026-06-20 17:59:08.215
2,6,E2_想象吞咽1,1781949552.270403,2026-06-20 17:59:12.270
2,7,E2_含水1,1781949557.290502,2026-06-20 17:59:17.290
2,8,E2_温水吞咽1,1781949568.117938,2026-06-20 17:59:28.117
3,9,E3_实验开始,1781949583.166644,2026-06-20 17:59:43.166
3,10,E3_想象吞咽1,1781949587.216126,2026-06-20 17:59:47.216
3,11,E3_含水1,1781949592.234360,2026-06-20 17:59:52.234
3,12,E3_温水吞咽1,1781949607.509743,2026-06-20 18:00:07.509
4,13,E4_实验开始,1781949622.515628,2026-06-20 18:00:22.515
4,14,E4_想象吞咽1,1781949626.562575,2026-06-20 18:00:26.562
4,15,E4_含水1,1781949631.569631,2026-06-20 18:00:31.569
4,16,E4_温水吞咽1,1781949638.193381,2026-06-20 18:00:38.193
5,17,E5_实验开始,1781949653.200471,2026-06-20 18:00:53.200
5,18,E5_想象吞咽1,1781949657.247423,2026-06-20 18:00:57.247
5,19,E5_含水1,1781949662.300527,2026-06-20 18:01:02.300
5,20,E5_温水吞咽1,1781949668.410313,2026-06-20 18:01:08.410
6,21,E6_实验开始,1781949683.458198,2026-06-20 18:01:23.458
6,22,E6_想象吞咽1,1781949687.502033,2026-06-20 18:01:27.502
6,23,E6_含水1,1781949692.554132,2026-06-20 18:01:32.554
6,24,E6_温水吞咽1,1781949698.017837,2026-06-20 18:01:38.017
7,25,E7_实验开始,1781949713.030070,2026-06-20 18:01:53.030
7,26,E7_想象吞咽1,1781949717.069911,2026-06-20 18:01:57.069
7,27,E7_含水1,1781949722.115421,2026-06-20 18:02:02.115
7,28,E7_温水吞咽1,1781949727.828858,2026-06-20 18:02:07.828
8,29,E8_实验开始,1781949742.835917,2026-06-20 18:02:22.835
8,30,E8_想象吞咽1,1781949746.878091,2026-06-20 18:02:26.878
8,31,E8_含水1,1781949751.883123,2026-06-20 18:02:31.883
8,32,E8_温水吞咽1,1781949757.894001,2026-06-20 18:02:37.894
9,33,E9_实验开始,1781949772.945342,2026-06-20 18:02:52.945
9,34,E9_想象吞咽1,1781949776.985279,2026-06-20 18:02:56.985
9,35,E9_含水1,1781949782.038505,2026-06-20 18:03:02.038
9,36,E9_温水吞咽1,1781949787.197652,2026-06-20 18:03:07.197
10,37,E10_实验开始,1781949802.204977,2026-06-20 18:03:22.204
10,38,E10_想象吞咽1,1781949806.248022,2026-06-20 18:03:26.248
10,39,E10_含水1,1781949811.256612,2026-06-20 18:03:31.256
10,40,E10_温水吞咽1,1781949816.568919,2026-06-20 18:03:36.568
0,41,实验结束,1781949831.580200,2026-06-20 18:03:51.580
