epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1783164206.416251,2026-07-04 19:23:26.416
1,2,E1_静息1,1783164206.416251,2026-07-04 19:23:26.416
1,3,E1_想象吞咽1,1783164211.469644,2026-07-04 19:23:31.469
2,4,E2_静息1,1783164216.513151,2026-07-04 19:23:36.513
2,5,E2_想象吞咽1,1783164221.516892,2026-07-04 19:23:41.516
3,6,E3_静息1,1783164226.561879,2026-07-04 19:23:46.561
3,7,E3_想象吞咽1,1783164231.609685,2026-07-04 19:23:51.609
4,8,E4_静息1,1783164236.653555,2026-07-04 19:23:56.653
4,9,E4_想象吞咽1,1783164241.698569,2026-07-04 19:24:01.698
5,10,E5_静息1,1783164246.740754,2026-07-04 19:24:06.740
5,11,E5_想象吞咽1,1783164251.782450,2026-07-04 19:24:11.782
6,12,E6_静息1,1783164256.827902,2026-07-04 19:24:16.827
6,13,E6_想象吞咽1,1783164261.874993,2026-07-04 19:24:21.874
7,14,E7_静息1,1783164266.927881,2026-07-04 19:24:26.927
7,15,E7_想象吞咽1,1783164271.971568,2026-07-04 19:24:31.971
8,16,E8_静息1,1783164277.021970,2026-07-04 19:24:37.021
8,17,E8_想象吞咽1,1783164282.067247,2026-07-04 19:24:42.067
9,017,E9_静息1,1783164287.114689,2026-07-04 19:24:47.114
9,19,E9_想象吞咽1,1783164292.167388,2026-07-04 19:24:52.167
10,20,E10_静息1,1783164297.219543,2026-07-04 19:24:57.219
10,21,E10_想象吞咽1,1783164302.267608,2026-07-04 19:25:02.267
0,22,实验结束,1783164307.319925,2026-07-04 19:25:07.319
